feature,gain
asks_limit_notional_3,1082.039306640625
asks_limit_notional_4,1073.984130859375
bids_limit_notional_5,1065.5517578125
bids_limit_notional_8,1064.68603515625
bids_limit_notional_2,1043.265869140625
cancel_sum_top1_asks,1016.9129638671875
asks_cancel_notional_14,998.1370849609375
asks_notional_13,993.1178588867188
bids_cancel_notional_8,982.4290771484375
asks_cancel_notional_12,969.1417236328125
bids_cancel_notional_3,956.0618286132812
asks_cancel_notional_13,946.61669921875
bids_cancel_notional_7,920.5359497070312
cancel_sum_top1_bids,899.8114624023438
bids_cancel_notional_1,824.8275146484375
r_1s,536.130126953125
asks_market_notional_1,112.62083435058594
asks_market_notional_6,0.0
asks_market_notional_7,0.0
asks_market_notional_5,0.0
asks_market_notional_8,0.0
asks_market_notional_9,0.0
regime_depth_2.0,0.0
regime_vol,0.0
regime_vol_0.0,0.0
regime_spread,0.0
regime_ofi_2.0,0.0
asks_market_notional_4,0.0
regime_vol_2.0,0.0
regime_depth_0.0,0.0
rv_regime,0.0
regime_spread_0.0,0.0
regime_ofi_0.0,0.0
bids_market_notional_13,0.0
bids_market_notional_14,0.0
bids_market_notional_3,0.0
bids_market_notional_4,0.0
bids_market_notional_7,0.0
bids_market_notional_8,0.0
bids_market_notional_9,0.0
bids_market_notional_10,0.0
asks_market_notional_13,0.0
bids_market_notional_12,0.0
bids_market_notional_1,0.0
asks_market_notional_10,0.0
asks_market_notional_11,0.0
asks_market_notional_12,0.0
bids_market_notional_2,0.0
asks_market_notional_14,0.0
bids_market_notional_5,0.0
bids_market_notional_6,0.0
asks_market_notional_2,0.0
asks_market_notional_3,0.0
bids_market_notional_11,0.0
